symbol,price,momentum_short,momentum_long,rsi,macd,volume_usd,volume_ratio,signal,signal_strength,signal_state,trend_score,confidence_score,composite_score,volume_composite_score,timeframe,timestamp,bb_position,trend_strength,stoch_k,stoch_d,ichimoku_bullish,vwap_bullish,rsi_bearish_div,ema_5_13_bullish,ema_9_21_bullish,ema_50_200_bullish,poc_price,poc_distance,anchored_poc,fixed_poc,fib_direction,fib_nearest_r,fib_nearest_e,fib_confluence,combined_score
API3/USDT:USDT,1.574,1.2032474804031357,0.8387850467289721,87.79188493296635,0.0888635297951248,42548840.666842625,3.0515808675613605,Buy,79.44317648975624,Overbought,9.02,0.978,111.04,54.34,daily,2025-08-21 13:50:31.338800+00:00,1.1913041570085008,37.70969879110036,82.01194304088196,71.56432175804983,True,True,False,True,True,False,1.373523469387755,0.14595784861368777,1.373523469387755,1.573280612244898,bull,1.4883700000000002,2.09416,20,87.71063529795126
BAND/USDT:USDT,0.8535,0.2996802192782093,0.08573972777000383,62.00804366561333,0.011898722730827479,5127367.546645957,5.457082689769449,Strong Buy,85.59493613654138,MACD Bullish,7.32,0.627,89.57,56.14,daily,2025-08-21 13:50:18.075390+00:00,1.0588195340426911,16.519040649608126,74.66048360384234,58.02146784923616,True,True,False,True,True,False,0.819945918367347,0.040922310704912084,0.819945918367347,0.8197571428571429,bull,0.8361192000000001,1.0382016,20,78.74598722730828
MEME/USDT:USDT,0.002552,0.358169238956892,0.21235154394299283,72.23415682062299,8.525075963618734e-05,35497147.318865426,2.6395203429424208,Buy,75.00426253798182,MACD Bullish,8.04,0.731,88.97,56.27,daily,2025-08-21 13:50:32.287388+00:00,1.0655069165576667,38.034654636297795,64.99261447562778,73.08094363094916,True,True,False,True,True,False,0.0020689285714285714,0.23348869325047475,0.0020689285714285714,0.0021390918367346938,bull,0.002649344,0.003460112,20,76.36685250759636
KOMA/USDT:USDT,0.02708,0.1278633902540609,0.10440456769983686,62.143826322930806,2.3383802384860028e-05,12898258.503602168,8.536892229950542,Strong Buy,85.00116919011924,Moderate Uptrend,8.91,0.632,83.93,56.05,daily,2025-08-21 13:50:15.444252+00:00,1.094290162756444,36.35997959238835,59.84752223634053,35.37617132395925,True,False,False,True,True,False,0.022925714285714285,0.18120638085742774,0.022925714285714285,0.035022142857142856,bull,0.0270422,0.0339256,20,75.78023383802385
BAN/USDT:USDT,0.08351,0.21504437654590425,0.2763258444138774,72.66300078554596,0.0024000885554599023,36552312.87863667,3.9578141767975863,Buy,75.120004427773,MACD Bullish,6.82,0.715,88.55,54.18,daily,2025-08-21 13:50:13.940070+00:00,1.0528687310713745,22.757904113923196,87.89808917197452,78.73390119963989,True,True,False,True,True,True,0.0628265306122449,0.32921552704239077,0.0628265306122449,0.0682815306122449,bull,0.07916924,0.09791952,20,75.5530008855546
OGN/USDT:USDT,0.0769,0.3100511073253831,0.1392592592592592,68.0244399185336,0.0016025923567799666,10627133.104199585,1.6613630898102139,Buy,85.08012961783899,MACD Bullish,7.36,0.592,83.35,45.04,daily,2025-08-21 13:50:24.748810+00:00,1.0744885621943467,29.496736063793417,65.06849315068493,66.2309625112818,True,False,False,True,True,False,0.07716530612244898,-0.003438152918462994,0.07716530612244898,0.07751122448979592,bull,0.078132,0.097436,40,72.2030259235678
BB/USDT:USDT,0.12822,0.12740701661830656,0.04969300040933278,41.71346880424794,-0.000408613143421558,16018487.845635416,2.2803518209781464,Neutral,89.97956934282892,Neutral,6.8,0.513,65.97,65.11,daily,2025-08-21 13:50:29.685202+00:00,0.6730864160563003,22.489775076526104,56.44313643052345,45.21064427130262,False,False,True,True,True,False,0.12862755102040815,-0.0031684582126848626,0.12862755102040815,0.12154642857142857,bull,0.13232084,0.17108632,20,70.5139138685658
MORPHO/USDT:USDT,2.3331,0.14266823391125483,0.14676824772671426,62.32636452925494,0.013924885965897194,24525498.609609164,1.8376089620219036,Strong Buy,85.69624429829486,MACD Bullish,7.57,0.626,87.39,30.05,daily,2025-08-21 13:50:14.643252+00:00,0.9337271583104143,19.56325848184676,88.69547409379477,72.5562813934052,True,False,True,True,True,True,3.8898908163265307,-0.4002145278197568,3.8898908163265307,2.031531632653061,bull,2.3883,2.693892,20,69.84924885965897
AIOT/USDT:USDT,1.5345,1.4012581372058084,2.518688374226095,87.57658696528057,0.11202161845535405,52398800.64449492,0.7075219390587594,Buy,72.60108092276771,Overbought,9.0,0.934,101.0,8.26,daily,2025-08-21 13:50:21.167249+00:00,0.9572870959741507,53.091389599218296,64.53879663370802,70.51437164979525,True,True,False,True,True,False,0.42136326530612245,2.641750779781855,0.42136326530612245,1.6800098979591838,bull,1.66126732,2.6745393600000003,20,67.49821618455354
SCR/USDT:USDT,0.4082,0.08477278766941265,0.19601523586287728,65.20714045133042,0.006074686415197254,11889942.156938752,1.6925421143477661,Buy,85.30373432075986,Consistent Uptrend,7.51,0.604,82.33,26.06,daily,2025-08-21 13:50:13.017031+00:00,0.8571299174175673,31.372023926285305,78.4503631961259,74.51519290502343,True,False,True,True,True,False,0.25896020408163267,0.5763039786272415,0.25896020408163267,0.49337959183673474,bull,0.38819560000000003,0.4887288,20,66.04374686415197
ASR/USDT:USDT,3.476,-0.3697189483227561,0.4918454935622316,15.522904062229898,-0.46611651202604976,33924287.59598518,3.8944203310687837,Sell,5.0,Oversold,7.29,0.94,97.58,53.81,daily,2025-08-21 13:50:22.991907+00:00,0.17038713839630498,28.68621041931774,8.748921484037966,3.8816453569937206,False,False,False,False,False,False,5.236377551020408,-0.33618231952685784,5.236377551020408,3.5854999999999997,bull,3.533955999999999,10.573888,20,65.93299999999999
LINK/USDT:USDT,25.889,0.1533389762551789,0.31623366719202806,69.12817343838508,0.3638084993370787,405364534.6447184,0.8142096386518451,Buy,90.0,Consistent Uptrend,7.94,0.862,91.63,1.95,daily,2025-08-21 13:50:15.516256+00:00,0.8280485877812056,36.70571617956141,88.68567533795294,84.94041389608786,True,True,True,True,True,True,13.005030612244898,0.9906912003439798,13.005030612244898,25.072785714285715,bull,26.885,30.738968000000003,20,64.4
ALPINE/USDT:USDT,2.0164,0.5520320197044335,1.151974386339381,71.3372424464533,0.057383721203756066,27836293.809637688,0.20760963772882804,Buy,69.8691860601878,Consistent Uptrend,9.0,0.807,95.22,6.24,daily,2025-08-21 13:50:23.337905+00:00,0.7744072637898575,53.77685359632523,65.47257514719553,67.31832103688404,True,True,False,True,True,False,0.7961510204081632,1.5326853176251045,0.7961510204081632,2.1892183673469385,bull,2.1204744,3.0956312,20,63.45583721203756
BNB/USDT:USDT,850.76,0.01184586108468122,0.08019299136617564,64.84213561439762,0.9706017826383402,515419600.62127334,0.9687626265790634,Weak Buy,86.84586108468122,Neutral,8.07,0.631,89.03,2.27,daily,2025-08-21 13:50:16.508510+00:00,0.7629502885625565,38.42935829641668,67.34338747099768,73.30814646058052,True,True,True,True,True,True,665.9432653061224,0.27752624633709694,665.9432653061224,824.9019387755102,bull,827.65456,950.1028799999999,20,62.56517221693625
