symbol,price,momentum_short,momentum_long,rsi,macd,volume_usd,volume_ratio,signal,signal_strength,signal_state,trend_score,confidence_score,composite_score,volume_composite_score,timeframe,timestamp,bb_position,trend_strength,stoch_k,stoch_d,ichimoku_bullish,vwap_bullish,rsi_bearish_div,ema_5_13_bullish,ema_9_21_bullish,ema_50_200_bullish,poc_price,poc_distance,anchored_poc,fixed_poc,fib_direction,fib_nearest_r,fib_nearest_e,fib_confluence,combined_score
ETH/USD:ETH,3553.86,0.2029855798524136,0.40920500101114654,96.48973135336412,86.56699711719702,11111079251.97305,3.2730828086108548,Buy,85.0,Consistent Uptrend,8.57,0.969,110.14,53.03,daily,2025-08-27 23:14:39.082127+00:00,1.0315595025885878,32.15212168906429,89.84512807528381,93.30055932541534,True,True,False,True,True,True,2533.390204081633,0.4028079820764496,2533.390204081633,3550.5389795918363,bull,3674.18,4098.91072,20,87.979
KSM/USDT:USDT,16.29,0.11774392754219831,0.13455913079816129,92.70949099799954,0.4079355200098014,21419137.323485002,3.7640150934693586,Buy,85.0,Moderate Uptrend,6.96,0.894,96.92,65.35,daily,2025-08-27 23:13:58.806846+00:00,0.980466443795079,23.166908145301537,72.38819482165486,85.23910398262936,False,False,False,True,True,False,15.985928571428571,0.0190211927454055,15.985928571428571,15.880183673469388,bear,19.393,17.370952,20,85.065
ATOM/USDT:USDT,4.855,0.046336206896551824,0.20981809120358852,83.25581395348841,0.06655951998634255,11561486.411865002,2.3455657408134254,Weak Buy,78.32797599931713,Neutral,7.99,0.847,100.95,59.4,daily,2025-08-27 23:15:38.384390+00:00,0.8951932280946013,24.827967960411375,75.14403292181073,85.3801767805553,False,True,False,True,True,False,4.9577857142857145,-0.020732181705542457,4.9577857142857145,4.923908163265306,bull,4.77704,5.59492,40,83.96059519986343
TRB/USDT:USDT,42.79,0.03432438965433904,0.06814777833250107,82.27722772277224,0.6062745736275391,20587789.86005,2.328734063218282,Weak Buy,85.0,Neutral,6.51,0.712,94.88,64.13,daily,2025-08-27 23:14:23.565593+00:00,0.868691036558832,18.81989454273366,67.90476190476193,79.24993851334737,False,True,False,True,True,False,43.01683673469388,-0.00527320816481457,43.01683673469388,41.578469387755106,bull,44.457800000000006,78.18879999999999,20,83.679
YFI/USDT:USDT,6002.0,0.0769782881751302,0.19300337904989062,79.59442332065906,74.38485427849605,4964102463.605,2.3164809030869016,Buy,85.0,Consistent Uptrend,7.64,0.885,96.79,57.73,daily,2025-08-27 23:15:28.684771+00:00,0.9347324769349523,20.47541168545361,72.1782890007189,79.43060870620762,False,True,False,True,True,False,4471.142857142857,0.34238609495814437,4471.142857142857,6360.193877551021,bull,5914.876,6935.448,20,82.714
FXS/USDT:USDT,3.547,0.6086167800453515,0.4978885135135136,98.29580036518564,0.1743930797676583,1867354.9596149998,5.2506754516824135,Buy,83.71965398838292,Overbought,8.65,0.97,100.3,52.15,daily,2025-08-27 23:15:07.864802+00:00,1.242751437660926,33.15821029616929,89.54496208017333,92.14258732437794,False,True,False,True,True,False,1.865061224489796,0.9018142425701405,1.865061224489796,3.275142857142857,bull,3.74,4.243744,20,82.53893079767658
DASH/USDT:USDT,23.64,0.08589802480477737,0.19213313161875956,91.36842105263158,0.32463143457058685,21655205.67235,3.112171328954184,Buy,85.0,Consistent Uptrend,8.08,0.928,99.16,52.69,daily,2025-08-27 23:15:38.706973+00:00,1.024044698849047,25.953417227875978,76.32575757575758,82.4521327480938,False,False,False,True,True,False,26.87673469387755,-0.12042886648037905,26.87673469387755,23.652142857142856,bull,23.12944,26.91912,20,82.387
ETC/USDT:USDT,23.183,0.269188656520311,0.403244355668543,95.41924443859419,0.5251280583966432,9194525.660665,6.217337213249941,Buy,85.0,Overbought,7.95,0.955,98.9,52.63,daily,2025-08-27 23:16:24.951719+00:00,1.2780488332259148,24.34553977103559,79.84443692932025,88.32779910776605,False,True,False,True,True,False,16.965336734693878,0.3664921812362903,16.965336734693878,23.185438775510203,bull,22.492056,27.828088,20,82.239
BNB/USDT:USDT,730.02,0.05806133688909498,0.13288536445320376,90.07426001464272,5.7144247092715705,380455708.26875,2.603321879462453,Weak Buy,85.0,Moderate Uptrend,8.06,0.842,99.12,52.01,daily,2025-08-27 23:14:38.672845+00:00,1.0749795589856894,25.761342501363178,68.71537852809283,82.78643764575376,False,True,False,True,True,True,663.1276530612245,0.10087401216036991,663.1276530612245,729.7791836734693,bull,726.76384,810.36032,20,82.163
LTC/USDT:USDT,101.73,0.0791344011880768,0.19710520122381725,83.88561053109397,1.2790750294330997,90895011.36760001,3.2325853725152958,Buy,85.0,Consistent Uptrend,7.86,0.914,98.72,51.77,daily,2025-08-27 23:14:06.248687+00:00,0.990834320626942,23.267851993325824,61.04758391737366,77.89014387363497,False,False,False,True,True,False,94.77551020408163,0.07337855297157633,94.77551020408163,101.58,bull,103.74208,122.14184000000002,20,81.891
ILV/USDT:USDT,13.34,0.08897959183673465,0.17533039647577087,91.48936170212765,0.3249931492208522,15095828.0579,2.5790205931115153,Buy,85.0,Overbought,7.15,0.903,97.3,53.31,daily,2025-08-27 23:16:06.855064+00:00,0.8971244663501953,26.899836089227133,79.51807228915663,87.714982565618,False,False,False,True,True,False,14.695612244897958,-0.09224605428525795,14.695612244897958,14.782142857142858,bear,14.91,13.32152,20,81.643
UNI/USDT:USDT,10.129,0.16545852030836472,0.3361034164358263,83.6665965059987,0.1674027804563366,3980108.1587950005,2.0513196036796844,Buy,83.37013902281683,Consistent Uptrend,8.41,0.929,106.83,38.28,daily,2025-08-27 23:14:31.685558+00:00,1.0639042722415204,30.116210712694503,80.56228793019875,75.76204337524636,True,True,False,True,True,False,7.0235714285714295,0.4421438014847959,7.0235714285714295,10.124336734693877,bull,9.71914,12.32772,20,81.57302780456337
CVX/USDT:USDT,4.173,0.3717948717948718,0.6205825242718446,78.05365296803653,0.2091727045246733,524456.05634,3.4987074552156723,Buy,85.0,Overbought,8.01,0.945,97.72,52.3,daily,2025-08-27 23:15:36.117442+00:00,0.8440031596896737,37.65609053626075,64.66331025802391,78.26142612429193,False,True,False,True,True,False,2.5302142857142855,0.6492674251192729,2.5302142857142855,4.4855,bull,4.082004,6.160416000000001,20,81.55
XRP/USD:XRP,3.4111,0.24560890998721918,0.5742569688019199,91.50395409055915,0.10451902761688106,7520084.8932064995,3.41154703090722,Buy,80.22595138084405,Consistent Uptrend,8.45,0.966,99.9,51.72,daily,2025-08-27 23:15:20.268881+00:00,1.0155318666099564,43.17676706053413,82.71495071193864,90.24029682778102,False,True,False,True,True,True,2.5729102040816327,0.32577498996609877,2.5729102040816327,3.2465204081632653,bull,3.2497504,4.1405792,20,81.51119027616882
DOT/USD:DOT,4.237,0.08224776500638575,0.16050397151465368,90.37037037037032,0.08968516608761506,411569.243475,2.8251619932335568,Buy,79.48425830438076,Overbought,8.04,0.901,99.08,52.78,daily,2025-08-27 23:15:54.942456+00:00,0.9030923007008355,38.00219707008527,24.611186903137796,24.439790974783605,False,False,False,True,True,False,5.288908163265306,-0.19888947412084976,5.288908163265306,4.479336734693877,bull,4.534798,8.085008,20,81.27085166087615
FIL/USDT:USDT,2.755,0.07591970631883149,0.15223755750731915,87.94162826420886,0.04389823472037066,20953594.7030165,2.4919129445464208,Buy,77.19491173601854,Consistent Uptrend,7.69,0.855,98.33,53.15,daily,2025-08-27 23:14:44.135650+00:00,0.9547990932273552,21.126490397936262,77.61578044596911,84.5295670199796,False,False,False,True,True,False,2.4225510204081635,0.13723095067604552,2.4225510204081635,2.369704081632653,bear,2.949,2.679448,20,80.5489823472037
SUSHI/USDT:USDT,0.9086,0.27666151468315303,0.44681528662420367,91.98423127463865,0.02349090186721313,1227908.5274265,5.45895848757497,Buy,76.17454509336066,Overbought,7.77,0.856,98.54,53.4,daily,2025-08-27 23:14:10.623212+00:00,1.2291044526177652,22.168617944565742,70.47900400928465,80.73331141394759,False,True,False,True,True,False,0.6131714285714286,0.48180420297283433,0.6131714285714286,0.9081428571428571,bull,0.9199272000000001,1.1966856,20,80.52490901867213
RUNE/USDT:USDT,1.6223,0.07486914463658656,0.1344755244755247,83.01768990634758,0.03368802985237411,41802463.282627,2.836900787460325,Buy,76.6844014926187,Moderate Uptrend,6.84,0.787,96.68,56.14,daily,2025-08-27 23:16:07.184816+00:00,0.8899794626436915,22.968173472317556,74.47333034513673,86.25935688326187,False,True,False,True,True,False,1.377234693877551,0.1779401195830154,1.377234693877551,1.3362551020408162,bear,2.035,1.501048,20,80.51888029852374
BANANA/USDT:USDT,22.61,0.20586666666666664,0.341043890865955,77.29941291585126,0.6312646618655875,65889622.213099994,2.438240449418332,Buy,85.0,Overbought,7.21,0.917,95.21,52.23,daily,2025-08-27 23:16:02.802095+00:00,0.8745075802972193,27.676356931291647,70.48780487804876,75.06901341414846,False,True,False,True,True,False,15.579591836734693,0.451257532093267,15.579591836734693,22.895816326530614,bear,25.68,22.43776,20,80.274
IMX/USDT:USDT,0.5791,0.162617948203172,0.4079747143204473,90.60254284134885,0.015037027304579027,664112.0135100001,2.141024182091375,Buy,75.75185136522896,Consistent Uptrend,8.12,0.804,93.12,61.3,daily,2025-08-27 23:16:08.556013+00:00,0.9793313811796154,26.529730873888322,77.07865168539323,86.10276394907413,False,True,False,True,True,False,0.5780489795918367,0.0018182203329991612,0.5780489795918367,0.5888,bear,0.66,0.5730416,20,80.1003702730458
XRP/USDT:USDT,3.41393,0.24956718116899523,0.5728047544457755,92.16207240119562,0.10464729767664649,13498547.691663751,2.3865298289432615,Buy,80.23236488383232,Consistent Uptrend,8.45,0.957,99.14,48.26,daily,2025-08-27 23:16:00.669148+00:00,1.0172363865605216,43.182738431186344,82.89060951691054,90.22619787200459,False,True,False,True,True,True,2.397607142857143,0.4238904860500798,2.397607142857143,3.248314081632653,bull,3.24975836,4.14205528,20,80.09447297676647
LINK/USDT:USDT,17.826,0.1663177178749018,0.3586890243902441,92.47311827956989,0.41016363947120416,115918822.454795,2.3971670533367684,Buy,85.0,Consistent Uptrend,7.1,0.928,96.51,49.41,daily,2025-08-27 23:14:02.213149+00:00,1.0112885689963873,26.199290646302636,78.12449474535168,88.97607954851027,False,True,False,True,True,False,13.006091836734694,0.37058850758318124,13.006091836734694,17.84679591836735,bull,17.231292,21.423816,20,80.078
CRV/USDT:USDT,0.982,0.5572470662860767,0.6446156422709766,92.1742209631728,0.053616192335636886,3453780.8772265,2.418852840079078,Buy,77.68080961678184,Overbought,7.94,0.948,98.34,50.06,daily,2025-08-27 23:15:27.719481+00:00,1.051282472847191,36.762092908782954,83.33333333333334,89.91415534535197,False,True,False,True,True,False,0.505011224489796,0.944511235353427,0.505011224489796,1.004095918367347,bull,0.9407172,1.2416056,20,79.72416192335638
NEO/USDT:USDT,6.867,0.11477272727272725,0.24741144414168947,94.3327239488117,0.1282326848691775,5780536.899814999,2.136574868503437,Buy,81.41163424345888,Consistent Uptrend,7.83,0.923,99.24,44.35,daily,2025-08-27 23:14:32.613315+00:00,0.9512844583917979,22.848838812299565,78.34078489816194,88.04516597984298,False,True,False,True,True,False,5.485285714285714,0.2518946792718181,5.485285714285714,5.603265306122449,bull,6.697896,8.000408,40,79.20732684869178
ETH/USDT:USDT,3548.75,0.1997166995155495,0.4055012079686324,96.11963570643894,86.17675961941637,38355104757.0492,1.795699631997476,Buy,85.0,Consistent Uptrend,8.86,0.919,106.02,29.77,daily,2025-08-27 23:15:51.012565+00:00,1.0292948207517434,35.70495406054169,89.27976581032655,93.13697023276416,True,True,False,True,True,True,2535.4042857142854,0.3996781578367611,2535.4042857142854,3473.5817346938775,bull,3676.19,4101.83464,20,78.941
API3/USDT:USDT,0.7487,0.06123316796598166,0.14061547836684962,81.67006109979636,0.013718326570731562,6815670.854778499,3.4558307563004584,Buy,75.68591632853658,Neutral,7.81,0.716,93.91,55.28,daily,2025-08-27 23:15:22.167838+00:00,0.8869365913708114,22.683556182042253,71.39728427507669,78.80931970723417,False,False,False,True,True,False,0.8331336734693877,-0.10134468952357148,0.8331336734693877,0.7806489795918368,bear,0.8414,0.7553664,20,78.67618326570732
KCS/USDT:USDT,13.13,0.2504761904761905,0.13287316652286463,71.39588100686501,0.2422518997009443,3894282.91585,2.995980332843689,Buy,85.0,MACD Bullish,5.71,0.814,88.68,57.3,daily,2025-08-27 23:13:55.458246+00:00,1.0995863792635376,38.74783981176453,74.80916030534354,78.27793126896857,False,True,False,True,True,False,14.034285714285714,-0.0644340390879478,14.034285714285714,13.467551020408163,bull,13.19252,15.18896,20,78.53
SUI/USDT:USDT,3.7825,0.11716581014826621,0.337564977545175,72.71725519659405,0.09674892664687246,36207686.819722995,2.5314656087917258,Buy,79.83744633234362,Consistent Uptrend,7.6,0.904,93.34,51.84,daily,2025-08-27 23:14:06.679157+00:00,0.7835215944605118,32.48906923584189,67.08736502594309,82.1568567280086,False,True,False,True,True,False,3.536976530612245,0.06941619975783542,3.536976530612245,3.646218367346939,bull,3.7894344,4.7849112,20,78.18948926646873
COMP/USDT:USDT,51.58,0.10449678800856521,0.02381897578404124,83.71187540558083,0.9223395502728181,51041714.36325001,1.9990494853485825,Buy,81.90948789202062,Weak Uptrend,4.48,0.733,98.62,40.7,daily,2025-08-27 23:15:17.594570+00:00,0.9472552901953751,25.399994491475873,75.25773195876288,75.19644860428427,True,True,False,True,True,False,43.884795918367345,0.175350116608653,43.884795918367345,46.484693877551024,bull,50.885000000000005,69.09648,20,77.90189757840413
GALA/USDT:USDT,0.01869,0.0981198589894241,0.2916378714581893,88.97893030794167,0.0004317290374598046,3455802.3844191004,3.5774641316665727,Buy,75.02158645187299,Consistent Uptrend,8.03,0.775,84.38,69.0,daily,2025-08-27 23:15:09.459718+00:00,0.9201514213807882,25.413437995044905,74.09551374819098,84.3371507195038,False,False,False,True,True,False,0.018518877551020406,0.00924043309364413,0.018518877551020406,0.018735,bull,0.01842444,0.022849120000000004,20,77.8943172903746
SNX/USDT:USDT,0.7042,0.07233135373838917,0.1976190476190478,82.9398663697105,0.013310119528910543,2372699.1203645,2.5926563243157608,Buy,75.66550597644553,Consistent Uptrend,7.67,0.765,93.32,53.49,daily,2025-08-27 23:13:54.443407+00:00,0.9726464567900599,20.844250196446815,81.03271983640086,87.30491933429137,False,False,False,True,True,False,0.6309285714285715,0.11613268425223587,0.6309285714285715,0.6171408163265306,bear,0.81,0.720512,20,77.8401011952891
ENS/USDT:USDT,27.285,0.25275482093663904,0.37359041482078137,90.77331867326374,0.9048371997121594,10148435.910729999,2.2072106451530837,Buy,85.0,Overbought,7.24,0.916,95.53,42.17,daily,2025-08-27 23:16:16.613079+00:00,0.9998646130215857,28.026478457446,77.58489287831316,86.42231504849003,False,True,False,True,True,False,21.575642857142856,0.2646204880503478,21.575642857142856,26.59161224489796,bull,26.657972,33.705456,20,77.416
ICP/USDT:USDT,5.685,0.06380988023952083,0.11165428236214314,80.84526244035439,0.08367591879480467,185727289.07387996,2.221374342831439,Buy,79.18379593974024,Moderate Uptrend,6.48,0.782,94.1,45.73,daily,2025-08-27 23:15:58.314326+00:00,0.8765912669645928,18.550458470777123,67.06827309236947,81.52688594647853,False,False,False,True,True,False,5.433673469387754,0.04625352112676066,5.433673469387754,5.606051020408163,bear,6.318,5.773184,20,76.60575918794805
OP/USDT:USDT,0.7481,0.13572187642325795,0.3273598296664302,95.33527696793007,0.0190034842649691,3261558.73815,2.182754454643771,Buy,75.95017421324846,Consistent Uptrend,7.77,0.814,95.68,43.53,daily,2025-08-27 23:14:58.001031+00:00,0.9815773460931877,22.08901990982247,75.97079322933953,84.57945442662258,False,True,False,True,True,False,0.6678836734693878,0.1201052364611947,0.6678836734693878,0.6599040816326531,bear,0.8217,0.722692,20,76.0890348426497
KDA/USDT:USDT,0.499,0.11833258628417753,0.256294058408862,76.38510445049957,0.013597083642513656,5154692.9528335,2.536008334648051,Buy,75.67985418212568,Consistent Uptrend,7.37,0.789,90.53,52.03,daily,2025-08-27 23:13:56.234931+00:00,0.8106257172664878,29.595275743118435,70.35040431266845,77.09681224252643,False,False,False,True,True,False,0.39644999999999997,0.2586707024845505,0.39644999999999997,0.49905,bear,0.5678,0.5013504,20,76.00997083642514
DOGE/USDT:USDT,0.23595,0.1733552140832464,0.3825735380288291,90.45142730692633,0.005921889725082535,320018.5358399,2.7686748581951615,Buy,75.29609448625412,Consistent Uptrend,8.81,0.815,90.06,52.85,daily,2025-08-27 23:15:59.065824+00:00,1.0985455279862932,35.16311950405982,80.1451473136915,86.41575727886591,False,True,False,True,True,False,0.20074571428571428,0.17536755810478077,0.20074571428571428,0.23607,bull,0.22794240000000002,0.28463520000000003,20,75.94421889725083
