symbol,price,momentum_short,momentum_long,rsi,macd,volume_usd,volume_ratio,signal,signal_strength,signal_state,trend_score,confidence_score,composite_score,volume_composite_score,timeframe,timestamp,bb_position,trend_strength,stoch_k,stoch_d,ichimoku_bullish,vwap_bullish,rsi_bearish_div,ema_5_13_bullish,ema_9_21_bullish,ema_50_200_bullish,poc_price,poc_distance,anchored_poc,fixed_poc,fib_direction,fib_nearest_r,fib_nearest_e,fib_confluence,combined_score
API3/USDT:USDT,1.5824,1.2150055991041433,0.8485981308411215,87.88225962809554,0.08939959817119321,42702810.74650046,3.240527458038483,Buy,79.46997990855967,Overbought,9.02,0.978,111.04,54.33,daily,2025-08-21 14:22:26.913149+00:00,1.1957978146994608,37.70969879110036,82.78364722094625,71.82155648473793,True,True,False,True,True,False,1.373523469387755,0.15207350676384973,1.373523469387755,1.5798214285714285,bull,1.4883700000000002,2.09416,20,87.71299598171194
BAND/USDT:USDT,0.866,0.31871478605146963,0.10164101259381764,62.678143078876815,0.012696443528548214,5150206.418263665,5.825413421891939,Strong Buy,85.6348221764274,MACD Bullish,7.32,0.644,90.61,52.5,daily,2025-08-21 14:21:40.090971+00:00,1.0922156986976748,16.519040649608126,78.80092745942363,59.4016158010966,True,True,False,True,True,False,0.819945918367347,0.05616721859455632,0.819945918367347,0.8189255102040817,bull,0.8361192000000001,1.0382016,20,78.18196443528548
MEME/USDT:USDT,0.00257,0.3677488025545501,0.22090261282660317,72.93926247288502,8.639947758490494e-05,35526484.35159927,2.6909724877398036,Buy,75.00431997387925,MACD Bullish,8.04,0.735,89.44,56.27,daily,2025-08-21 14:21:46.070017+00:00,1.0767680827237969,38.034654636297795,66.32200886262923,73.52407509328299,True,True,False,True,True,False,0.0020689285714285714,0.24218884861039178,0.0020689285714285714,0.0021443163265306123,bull,0.002649344,0.003460112,20,76.60186399477585
KOMA/USDT:USDT,0.02779,0.1574344023323615,0.13336052202283843,63.88349514563107,6.869434369539929e-05,12917517.36510625,9.56384906911012,Strong Buy,85.00343471718477,MACD Bullish,8.91,0.66,85.13,56.04,daily,2025-08-21 14:22:24.238640+00:00,1.1900594207367003,36.35997959238835,68.86912325285894,38.383371662798716,True,False,False,True,True,False,0.022925714285714285,0.21217597208374872,0.022925714285714285,0.035022142857142856,bull,0.0270422,0.0339256,20,76.37768694343696
BAN/USDT:USDT,0.0847,0.23235850429215765,0.29451322023536597,74.0473903298111,0.0024760315754029276,36558641.43746329,4.065035896153789,Buy,75.12380157877014,MACD Bullish,6.82,0.723,89.53,54.18,daily,2025-08-21 14:22:15.252676+00:00,1.076428603942361,22.757904113923196,91.19357518692883,79.83239653795799,True,True,False,True,True,True,0.0628265306122449,0.34815656975799897,0.0628265306122449,0.06835285714285715,bull,0.08788,0.09791952,20,76.04376031575403
MORPHO/USDT:USDT,2.383,0.1671074542070723,0.17129515851560573,63.60062360197925,0.0171093873903983,24533968.338541914,2.018076131804185,Strong Buy,85.85546936951991,MACD Bullish,7.57,0.674,91.83,36.07,daily,2025-08-21 14:22:19.448535+00:00,0.9858988102701367,19.564162583436858,98.87410440122824,75.9491581625497,True,False,False,True,True,True,3.8898908163265307,-0.3873864042666325,3.8898908163265307,2.0981908163265306,bull,2.3885,2.6941464,20,73.90709387390397
OGN/USDT:USDT,0.0772,0.31516183986371393,0.14370370370370367,68.44262295081967,0.0016217376559252623,10632931.548330834,1.70554191870382,Buy,85.08108688279626,MACD Bullish,7.36,0.601,83.93,47.72,daily,2025-08-21 14:22:12.441960+00:00,1.0826142543325314,29.496736063793417,66.09589041095893,66.57342826470646,True,False,False,True,True,False,0.07716530612244898,0.00044960461241437495,0.07716530612244898,0.07712857142857144,bull,0.078132,0.097436,40,73.29721737655926
BB/USDT:USDT,0.12834,0.12846214719071503,0.050675399099467944,41.78480367159614,-0.0004009550237634423,16030622.016907666,2.3833348456849017,Neutral,89.97995224881183,Neutral,6.8,0.521,66.6,68.94,daily,2025-08-21 14:22:21.055929+00:00,0.6750919824365907,22.489775076526104,56.69539625814593,45.294730880510116,False,False,True,True,True,False,0.12862755102040815,-0.002235532108999893,0.12862755102040815,0.12154642857142857,bull,0.13232084,0.17108632,20,71.97799044976236
AIOT/USDT:USDT,1.54289,1.4143872058087128,2.537927080944738,88.08999755441428,0.11255704865478433,52433789.243079655,0.7342108672169907,Buy,72.62785243273922,Overbought,9.0,0.938,101.0,8.26,daily,2025-08-21 14:21:58.054388+00:00,0.9611156075506173,53.091389599218296,65.03673721319454,70.68035184295742,True,True,False,True,True,False,0.42136326530612245,2.6616623399267683,0.42136326530612245,1.6800955102040818,bull,1.66126732,2.6745393600000003,20,67.50357048654784
SCR/USDT:USDT,0.4087,0.08610151474887062,0.19748022267799592,65.31713900134952,0.00610659524710612,11893037.803421669,1.7524141975633656,Buy,85.3053297623553,Consistent Uptrend,7.51,0.613,82.83,28.05,daily,2025-08-21 14:22:45.733766+00:00,0.8595338709440016,31.372023926285305,78.85391444713478,74.64970998869306,True,False,True,True,True,False,0.25896020408163267,0.5782347772291857,0.25896020408163267,0.49337959183673474,bull,0.38819560000000003,0.4887288,20,66.89106595247105
